Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
864,"Sep 06, 2024","Sep 13, 2024","Sep 30, 2026",Revised,Road Closure,82 Avenue NW,56 Street NW,50 Street NW,Total Closure,Two Years,82 Avenue will be closed at West of 50 street.,Construction,Construction,Southeast,Road,POINT (-113.42281790074597 53.51804016487526)
1268,"Jan 27, 2025","Feb 18, 2025","Mar 23, 2025",Current,Single lane closure Eastbound,Ellerslie Road SW,Rabbit Hill Road SW,141 Street SW,Travel Delays,1 Month,Starts Feb 18th. Straight through lane on Ellerslie Rd Eastbound in front of Ambleside Eco Station will be closed full time. Eastbound traffic to use left turning lane around the lane closure. Expect travel delays.,Gas Pipeline Installation,Construction,Southwest,Road,POINT (-113.58983573962888 53.425074385191095)
1329,"Feb 25, 2025","Mar 01, 2025","Mar 12, 2025",Current,Eastbd Whitemud Dr to Northbd Anthony Hen. Closure,Whitemud Drive NW,17 Street NW,Anthony Henday Drive NW,Directional Closure,11 Days,Eastbound Whitemud Dr off ramp to Northbound Anthony Henday Drive will be closed due to work directed by Alberta Transportation. For details contact the road authority at 511,Bridge Repairs,Construction,Southeast,Road,POINT (-113.36876000075299 53.482218631786914)
2,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2026",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,4 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.56136986206472 53.54360426742868)
1306,"Feb 13, 2025","Feb 18, 2025","Mar 17, 2025",Current,Single lane closure in both directions,Terwillegar Drive NW,Whitemud Drive NW,40 Avenue NW,Travel Delays,1 Month,Nightly from 10pm - 6am. Single lane closure on Terwillegar Dr from Whitemud Dr  to 40ave. Expect travel delays.,Power Maintenance,Construction,Southwest,Road,POINT (-113.57495202136012 53.47655009161135)
1347,"Mar 04, 2025","Mar 04, 2025","Mar 18, 2025",Emergency,"108 St Closed, Jasper Ave - 80m S/O Jasper Ave",108 Street NW,Jasper Avenue NW,100 Avenue NW,Total Closure,2 Weeks,"108 St closed from Jasper Ave to approx. 80m south of Jasper Ave, South crosswalk closed at Jasper Ave/108 St intersection, Access to and from alley south of Jasper Ave closed at 108 St.",Gas Repair,Construction,Central,Road and Sidewalk,POINT (-113.50659617479108 53.54093118360785)
6,"Jan 17, 2022","Jul 27, 2021","Dec 31, 2024",Current,87 Ave West LRT Construction,87 Avenue NW,170 Street NW,175 Street NW,Travel Delays,3 Years,The right lane of WB 87 Ave will remain closed from 170 St - 175 St for the West LRT construction project. There will be various impacts to sidewalks and mall accesses as work progresses. Additional lane closures will follow with separate or revised TDNs.,West LRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.61538553387503 53.5195473821268)
1352,"Mar 06, 2025","Mar 17, 2025","Mar 21, 2025",Current,Road and Sidewalk Closure,83 Avenue NW,110 Street NW,111 Street NW,Total Closure,5 Days,83 Avenue including South sidewalk of 83 Avenue will be closed between 110 street and 111 street. North sidewalk of 83 Avenue will be available for cyclists with dismount and walk condition.,Construction,Construction,Central,Road and Sidewalk,POINT (-113.51500215555482 53.51909972477187)
13,"May 10, 2023","Aug 14, 2023","Aug 31, 2025",Revised,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,Long term project,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.51021860826754 53.54622861381457)
1197,"Dec 18, 2024","Feb 03, 2025","May 05, 2025",Revised,118 St Closed N/O Jasper Ave,118 Street NW,Jasper Avenue,,Total Closure,3 Months,118 St closed from Jasper Ave to approx. 30m north of Jasper Ave including the east sidewalk. North crosswalk closed at 118 St / Jasper Ave. Westbound right lane of Jasper Ave closed at 118 St.,Drainage Shaft Installation,Construction,Central,Road and Sidewalk,POINT (-113.52498040532097 53.54094181611859)
